Player,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT
Zion Williamson,NOP,20,284,Duke,USA,2019,1,1,56,26.9,7.2,3.6,0.9,7.9,13.5,28.7,65.5,18.6,79
Zeke Nnaji,DEN,20,240,Arizona,USA,2020,1,22,39,3.1,1.5,0.2,-10.7,3.6,12.7,12.6,61.2,3.2,81
Zach LaVine,CHI,26,200,UCLA,USA,2014,1,13,53,27.5,5.1,5.1,-1.4,1.8,12.5,30.3,63.3,23.2,77
Yuta Watanabe,TOR,26,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,42,4.1,3.2,0.7,1.1,5.5,17.5,11.8,58.9,7.5,81
Yogi Ferrell,LAC,27,178,Indiana,USA,Undrafted,Undrafted,Undrafted,4,8.3,2.0,3.5,5.7,4.2,7.4,21.5,49.7,31.8,72
Xavier Tillman,MEM,22,245,Michigan State,USA,2020,2,35,49,6.8,4.4,1.3,3.0,6.5,16.3,14.1,59.9,9.5,80
Willy Hernangomez,NOP,26,250,None,Spain,2015,2,35,37,6.7,6.4,0.9,1.7,14.1,24.4,16.1,58.4,7.7,83
Willie Cauley-Stein,DAL,27,240,Kentucky,USA,2015,1,6,41,5.6,4.3,0.7,9.3,7.1,16.8,12.7,64.6,5.8,84
Will Magnay,NOP,22,234,None,Australia,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-148.2,0.0,0.0,20.0,0.0,0.0,82
Will Barton,DEN,30,181,Memphis,USA,2012,2,40,56,12.7,4.0,3.2,6.0,2.4,10.9,18.7,53.8,13.5,78
Wesley Matthews,LAL,34,220,Marquette,USA,Undrafted,Undrafted,Undrafted,50,4.5,1.5,0.9,1.9,1.5,6.3,10.9,49.7,6.4,76
Wes Iwundu,NOP,26,195,Kansas State,USA,2017,2,33,36,2.5,2.2,0.4,-4.3,2.2,13.0,10.3,45.2,4.2,78
Wenyen Gabriel,NOP,24,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,11,2.2,1.7,0.7,5.3,9.2,14.3,16.3,49.8,15.1,81
Wendell Carter Jr.,ORL,22,270,Duke,USA,2018,1,7,47,11.8,8.2,2.0,-8.2,9.0,22.3,18.9,58.8,11.8,82
Wayne Ellington,DET,33,207,North Carolina,USA,2009,1,28,44,9.6,1.9,1.4,-4.0,1.2,7.4,16.0,62.9,9.7,76
Vlatko Cancar,DEN,24,236,None,Slovenia,2017,2,49,34,1.4,1.1,0.3,-21.7,3.0,16.2,12.7,51.6,7.8,80
Vincent Poirier,PHI,27,235,None,France,Undrafted,Undrafted,Undrafted,10,0.8,1.4,0.2,-19.4,13.0,22.2,19.4,27.3,8.0,84
Victor Oladipo,MIA,28,213,Indiana,USA,2013,1,2,33,19.8,4.8,4.6,-2.3,1.0,13.7,28.6,51.2,23.3,76
Vernon Carey Jr.,CHA,20,270,Duke,USA,2020,2,32,15,2.5,1.4,0.1,-7.3,3.4,17.5,17.1,57.9,3.3,81
Udoka Azubuike,UTA,21,280,Kansas,Nigeria,2020,1,27,12,1.0,1.1,0.0,-60.9,7.4,16.4,10.7,62.2,0.0,82
Tyus Jones,MEM,24,196,Duke,USA,2015,1,24,58,6.8,2.1,3.9,-2.8,1.7,9.2,16.7,51.3,30.4,72
Tyrese Maxey,PHI,20,200,Kentucky,USA,2020,1,21,52,7.5,1.5,1.7,-6.2,1.1,9.0,21.9,51.6,19.0,74
Tyrese Haliburton,SAC,21,185,Iowa State,USA,2020,1,12,55,12.8,3.0,5.2,-5.2,2.3,7.7,17.3,58.3,24.1,77
Tyrell Terry,DAL,20,160,Stanford,USA,2020,2,31,11,1.0,0.5,0.5,0.0,0.0,11.8,13.5,31.8,15.8,74
Tyler Johnson,BKN,28,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,32,5.4,1.9,1.0,2.9,0.9,9.6,13.5,56.0,7.7,75
Tyler Herro,MIA,21,195,Kentucky,USA,2019,1,13,48,14.9,4.9,3.4,-5.0,1.5,13.8,22.4,52.9,18.2,77
Tyler Cook,DET,23,255,Iowa,USA,Undrafted,Undrafted,Undrafted,22,3.5,2.5,0.5,-4.0,7.1,14.0,13.5,58.9,6.3,80
Tyler Bey,DAL,23,215,Colorado,USA,2020,2,36,11,0.9,1.2,0.1,-16.7,11.6,20.5,14.1,36.3,4.2,79
Ty-Shon Alexander,PHX,22,195,Creighton,USA,Undrafted,Undrafted,Undrafted,9,0.7,0.6,0.1,10.3,2.8,12.5,17.4,27.6,5.9,75
Ty Jerome,OKC,23,195,Virginia,USA,2019,1,24,28,10.3,2.8,3.6,-8.1,1.4,9.7,17.6,56.7,21.9,77
Troy Brown Jr.,CHI,21,215,Oregon,USA,2018,1,15,34,4.7,3.1,0.9,3.1,3.9,15.8,14.1,52.5,7.6,78
Tristan Thompson,BOS,30,254,Texas-Austin,Canada,2011,1,4,46,7.9,8.1,1.1,2.4,12.4,21.7,15.0,55.4,6.6,81
Trey Lyles,SAS,25,234,Kentucky,Canada,2015,1,12,23,5.0,3.7,0.6,-14.5,2.2,21.3,12.8,57.4,6.0,81
Trey Burke,DAL,28,185,Michigan,USA,2013,1,9,50,6.7,0.9,1.4,-0.3,0.8,5.0,19.0,56.5,14.4,72
Trevor Ariza,MIA,35,215,UCLA,USA,2004,2,43,21,8.7,4.6,1.8,3.0,2.9,14.7,14.5,53.1,8.9,80
Trent Forrest,UTA,22,210,Florida State,USA,Undrafted,Undrafted,Undrafted,19,0.9,0.4,1.1,-21.1,0.0,7.0,11.4,43.1,26.3,76
Tremont Waters,BOS,23,175,Louisiana State,USA,2019,2,51,18,2.8,0.6,2.0,-10.0,2.4,5.7,20.3,53.0,43.4,70
Tre Jones,SAS,21,185,Duke,USA,2020,2,41,29,1.9,0.4,0.7,-21.0,3.0,5.2,17.7,52.9,22.9,73
Trae Young,ATL,22,180,Oklahoma,USA,2018,1,5,54,25.3,3.9,9.6,4.5,1.9,9.3,31.8,58.3,42.8,73
Torrey Craig,PHX,30,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,39,4.7,3.6,0.9,-6.4,6.7,18.7,13.6,58.5,9.3,79
Tony Snell,ATL,29,213,New Mexico,USA,2013,1,20,40,5.5,2.4,1.3,2.6,1.8,8.9,8.6,72.1,8.3,78
Tony Bradley,OKC,23,248,North Carolina,USA,2017,1,28,35,7.1,5.7,0.8,1.1,12.7,22.0,15.3,67.5,7.2,82
Tomas Satoransky,CHI,29,210,None,Czech Republi...,2012,2,32,49,7.8,2.4,4.9,-1.0,2.3,8.4,14.8,61.6,27.9,79
Tobias Harris,PHI,28,226,Tennessee,USA,2011,1,19,52,20.0,7.1,3.6,6.5,3.0,17.9,23.8,60.5,17.7,80
Timothe Luwawu-Cabarrot,BKN,25,220,None,France,2016,1,24,53,6.6,2.4,1.2,0.3,2.5,9.5,16.4,48.8,8.3,79
Tim Hardaway Jr.,DAL,29,205,Michigan,USA,2013,1,24,59,15.6,3.3,1.7,-0.5,1.0,10.1,22.6,56.6,9.1,77
Tim Frazier,MEM,30,170,Penn State,USA,Undrafted,Undrafted,Undrafted,3,1.3,1.3,2.3,12.1,0.0,11.1,13.6,25.0,30.4,72
Thon Maker,CLE,24,221,None,South Sudan,2016,1,10,8,3.8,2.3,0.5,-10.9,9.3,11.8,14.5,65.7,10.0,84
Thomas Bryant,WAS,23,248,Indiana,USA,2017,2,42,10,14.3,6.1,1.5,-2.1,6.3,16.3,16.3,70.4,7.9,82
Theo Pinson,NYK,25,212,North Carolina,USA,Undrafted,Undrafted,Undrafted,14,0.1,0.1,0.1,-20.5,0.0,5.1,13.2,11.1,7.1,77
Theo Maledon,OKC,19,175,None,France,2020,2,34,55,9.9,3.4,3.5,-15.6,1.3,10.4,18.3,49.3,19.3,76
Thanasis Antetokounmpo,MIL,28,219,None,Greece,2014,2,51,48,3.3,2.5,0.9,3.3,9.9,11.7,14.9,54.8,11.6,78
Thaddeus Young,CHI,32,235,Georgia Tech,USA,2007,1,12,57,12.1,6.2,4.2,4.1,10.6,15.6,21.2,59.8,24.7,80
Terry Rozier,CHA,27,190,Louisville,USA,2015,1,16,57,20.6,4.2,4.1,-2.0,1.5,10.5,23.8,59.4,18.8,73
Terrence Ross,ORL,30,206,Washington,USA,2012,1,8,46,15.6,3.4,2.3,-8.8,1.0,10.4,23.0,53.0,13.3,78
Terrance Ferguson,PHI,22,190,None,USA,2017,1,21,13,0.2,0.1,0.2,-17.8,0.0,2.4,9.4,14.3,5.7,78
Terence Davis,SAC,23,201,Mississippi,USA,Undrafted,Undrafted,Undrafted,50,7.2,2.1,1.1,-3.0,1.4,11.9,20.3,54.4,11.2,76
Terance Mann,LAC,24,215,Florida State,USA,2019,2,48,60,6.8,3.7,1.7,3.1,4.4,14.1,14.2,58.1,11.9,77
Taurean Prince,CLE,27,218,Baylor,USA,2016,1,12,41,9.5,3.5,1.9,-6.1,2.1,13.2,18.9,54.0,12.1,79
Talen Horton-Tucker,LAL,20,234,Iowa State,USA,2019,2,46,56,8.7,2.7,2.5,0.6,1.9,10.9,21.0,52.4,19.3,76
Taj Gibson,NYK,35,232,Southern California,USA,2009,1,26,35,5.2,5.4,0.7,5.8,10.4,15.3,9.6,65.6,5.0,81
Tacko Fall,BOS,25,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted,15,2.7,2.5,0.1,13.5,12.2,23.5,14.0,67.3,2.5,89
T.J. Warren,IND,27,220,North Carolina State,USA,2014,1,14,4,15.5,3.5,1.3,2.6,1.7,10.6,21.3,56.0,6.0,80
T.J. McConnell,IND,29,190,Arizona,USA,2015,0,,57,8.1,3.6,6.6,2.0,2.8,10.8,14.3,58.4,34.6,73
Svi Mykhailiuk,OKC,23,205,Kansas,Ukraine,2018,2,47,57,7.9,2.5,1.6,-7.9,1.9,10.3,18.1,53.2,12.3,79
Steven Adams,NOP,27,265,Pittsburgh,New Zealand,2013,1,12,56,7.8,9.0,1.9,-0.1,13.5,18.6,11.9,60.2,8.7,83
Sterling Brown,HOU,26,219,Southern Methodist,USA,2017,2,46,51,8.2,4.4,1.4,-5.4,2.9,14.7,13.3,59.7,8.8,77
Stephen Curry,GSW,33,185,Davidson,USA,2009,1,7,53,31.3,5.6,5.8,3.6,1.3,14.0,32.1,66.1,28.3,75
Stanley Johnson,TOR,24,242,Arizona,USA,2015,1,8,51,3.4,2.3,1.2,-6.8,2.8,13.7,11.4,53.5,12.0,78
Spencer Dinwiddie,BKN,28,215,Colorado,USA,2014,2,38,3,6.7,4.3,3.0,29.8,0.0,15.1,15.4,53.6,17.3,77
Solomon Hill,ATL,30,226,Arizona,USA,2013,1,23,61,4.6,3.0,1.0,0.6,2.7,10.9,10.4,49.5,6.1,78
Skylar Mays,ATL,23,205,Louisiana State,USA,2020,2,50,28,3.1,0.9,0.8,3.8,4.4,8.5,19.0,52.4,16.3,76
Sindarius Thornwell,NOP,26,215,South Carolina,USA,2017,2,48,14,1.2,0.4,0.3,5.2,1.3,5.8,14.5,38.8,7.4,76
Shaquille Harrison,DEN,27,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,23,1.5,0.7,0.5,-13.8,2.8,8.8,13.6,43.2,13.2,79
Shake Milton,PHI,24,205,Southern Methodist,USA,2018,2,54,53,13.3,2.3,2.9,4.0,2.2,7.0,24.0,54.6,19.9,77
Shai Gilgeous-Alexander,OKC,22,180,Kentucky,Canada,2018,1,11,35,23.7,4.7,5.9,-7.7,1.5,11.9,28.3,62.3,31.1,78
Seth Curry,PHI,30,185,Duke,USA,Undrafted,Undrafted,Undrafted,48,12.0,2.1,2.8,6.9,0.7,6.4,17.0,57.9,13.1,74
Serge Ibaka,LAC,31,235,None,Republic of t...,2008,1,24,39,10.9,6.7,1.7,8.2,7.9,21.4,19.7,58.2,10.5,82
Semi Ojeleye,BOS,26,240,Southern Methodist,USA,2017,2,37,50,4.8,2.6,0.7,-0.2,3.1,12.0,11.3,56.1,5.5,78
Sekou Doumbouya,DET,20,230,None,France,2019,1,15,48,4.0,2.2,0.7,-6.8,3.8,12.1,16.8,43.8,7.8,80
Sean McDermott,MEM,24,195,Butler,USA,Undrafted,Undrafted,Undrafted,17,2.3,1.1,0.2,-17.8,3.1,8.8,10.2,53.4,4.3,78
Sam Merrill,MIL,24,205,Utah State,USA,2020,2,60,27,3.1,1.0,0.7,-6.5,2.9,9.3,15.1,65.9,14.6,76
Saddiq Bey,DET,22,215,Villanova,USA,2020,1,19,60,11.3,4.2,1.2,-4.3,2.2,14.2,17.7,57.0,7.3,79
Saben Lee,DET,21,183,Vanderbilt,USA,2020,2,38,38,5.2,2.1,3.3,-8.1,2.8,10.7,17.1,53.6,32.9,74
Ryan Arcidiacono,CHI,27,195,Villanova,USA,Undrafted,Undrafted,Undrafted,36,3.0,1.6,1.3,-3.4,1.3,13.6,12.3,50.9,17.9,75
Russell Westbrook,WAS,32,200,UCLA,USA,2008,1,4,54,21.8,11.0,11.0,-3.5,4.4,24.3,30.2,50.1,46.8,75
Rui Hachimura,WAS,23,230,Gonzaga,Japan,2019,1,9,48,13.5,5.7,1.5,-4.0,2.6,14.5,17.7,54.4,6.5,80
Rudy Gobert,UTA,28,258,None,France,2013,1,27,60,14.5,13.5,1.3,15.8,10.8,28.3,16.6,68.2,6.0,85
Rudy Gay,SAS,34,250,Connecticut,USA,2006,1,8,52,11.1,4.9,1.5,5.8,2.9,17.5,22.6,52.6,10.5,80
Royce O'Neale,UTA,27,226,Baylor,USA,Undrafted,Undrafted,Undrafted,60,6.9,7.1,2.6,9.8,3.9,16.8,9.3,59.2,10.2,76
Rondae Hollis-Jefferson,POR,26,217,Arizona,USA,2015,1,23,5,3.4,2.6,1.6,-15.7,8.8,12.0,12.7,52.6,20.5,78
Romeo Langford,BOS,21,216,Indiana,USA,2019,1,14,12,2.3,2.1,0.7,-10.1,5.0,7.9,9.7,38.2,6.7,76
Rodney McGruder,DET,29,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,16,5.7,1.4,1.0,-4.0,4.2,7.8,17.9,61.9,12.8,76
Rodney Hood,TOR,28,208,Duke,USA,2014,1,23,49,4.7,1.9,1.1,-6.3,2.2,8.0,14.1,44.9,8.5,80
Rodions Kurucs,MIL,23,228,None,Latvia,2018,2,40,21,1.5,1.1,0.5,-0.3,3.7,13.4,14.5,45.9,11.5,81
Robin Lopez,WAS,33,281,Stanford,USA,2008,1,15,60,8.8,3.9,0.9,-2.7,9.5,9.3,16.1,66.2,6.4,84
Robert Woodard II,SAC,21,235,Mississippi State,USA,2020,2,40,11,1.6,1.0,0.0,11.8,8.8,24.2,24.4,51.4,0.0,78
Robert Williams III,BOS,23,237,Texas A&M,USA,2018,1,27,47,8.2,7.0,1.8,-1.0,13.8,23.4,14.9,72.1,13.7,80
Robert Franks,ORL,24,225,Washington State,USA,2019,,,7,6.1,2.0,0.7,-14.4,5.3,8.2,14.8,63.8,7.0,79
Robert Covington,POR,30,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,58,8.7,6.7,1.7,3.3,2.5,18.5,11.8,55.9,6.8,79
Ricky Rubio,MIN,30,190,None,Spain,2009,1,5,58,8.2,3.2,6.6,-7.1,1.3,10.9,15.5,50.1,34.0,75
Richaun Holmes,SAC,27,235,Bowling Green,USA,2015,2,37,52,14.3,8.8,1.6,-0.5,8.6,20.6,16.8,67.7,7.7,82
Reggie Perry,BKN,21,250,Mississippi State,USA,2020,2,57,21,3.6,3.1,0.7,-6.6,11.2,19.6,19.2,47.7,10.1,80
Reggie Jackson,LAC,31,208,Boston College,USA,2011,1,24,59,10.5,2.9,3.2,7.6,1.8,10.9,19.3,57.4,19.1,74
Reggie Bullock,NYK,30,205,North Carolina,USA,2013,1,25,55,10.5,3.3,1.5,1.6,0.7,10.5,14.0,60.2,7.3,78
Rayjon Tucker,PHI,23,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,12,2.0,0.8,0.4,12.4,1.6,16.3,16.0,69.9,16.1,75
Ray Spalding,HOU,24,225,Louisville,USA,2018,2,56,2,2.0,2.0,0.0,-15.9,8.3,8.3,15.7,41.0,0.0,81
Raul Neto,WAS,28,180,None,Brazil,2013,2,47,55,8.3,2.3,2.1,-2.6,1.9,8.7,15.9,55.9,14.2,73
Rajon Rondo,LAC,35,180,Kentucky,USA,2006,1,21,37,4.6,2.2,4.0,1.5,2.1,10.3,15.9,50.6,36.1,73
RJ Barrett,NYK,20,214,Duke,Canada,2019,1,3,62,17.5,5.7,2.9,1.8,2.9,12.9,22.9,53.5,13.2,78
R.J. Hampton,ORL,20,175,None,USA,2020,1,24,41,5.1,2.7,1.0,-18.3,3.0,15.2,17.4,49.3,10.1,76
Quinndary Weatherspoon,SAS,24,205,Mississippi State,USA,2019,2,49,17,1.1,0.4,0.3,-36.2,2.5,5.8,16.1,48.7,12.5,75
Quinn Cook,CLE,28,180,Duke,USA,Undrafted,Undrafted,Undrafted,23,3.3,0.7,0.8,-3.9,1.2,8.4,20.4,53.1,18.4,73
Precious Achiuwa,MIA,21,225,Memphis,Nigeria,2020,1,20,55,5.0,3.6,0.5,-8.3,9.9,17.6,18.2,54.9,6.5,80
Payton Pritchard,BOS,23,195,Oregon,USA,2020,1,26,55,7.3,2.3,1.8,0.2,2.7,9.1,15.6,58.7,13.8,73
Paul Watson,TOR,26,210,Fresno State,USA,Undrafted,Undrafted,Undrafted,27,4.1,1.7,0.6,-1.7,1.2,12.9,13.3,64.9,8.1,78
Paul Reed,PHI,21,210,DePaul,USA,2020,2,58,19,3.0,2.2,0.4,13.5,13.3,15.6,20.0,51.1,8.8,81
Paul Millsap,DEN,36,257,Louisiana Tech,USA,2006,2,47,48,8.9,4.8,1.7,2.8,6.6,17.2,17.7,57.8,10.6,79
Paul George,LAC,30,220,Fresno State,USA,2010,1,10,47,23.7,6.5,5.3,11.2,2.8,16.7,29.6,60.9,24.7,80
Patty Mills,SAS,32,180,St.Mary's College of California,Australia,2009,2,55,57,11.5,1.7,2.5,3.7,1.1,5.1,17.8,58.3,14.3,73
Patrick Williams,CHI,19,215,Florida State,USA,2020,1,4,60,9.1,4.7,1.4,-6.6,3.2,13.3,14.5,55.9,6.7,79
Patrick Patterson,LAC,32,235,Kentucky,USA,2010,1,14,34,5.1,1.9,0.6,5.3,3.0,9.6,13.8,58.5,6.4,80
Patrick McCaw,TOR,25,181,UNLV,USA,2016,2,38,5,1.0,0.6,0.8,-33.0,2.7,7.1,2.6,107.8,19.0,79
Patrick Beverley,LAC,32,180,Arkansas,USA,2009,2,42,31,8.0,3.6,2.1,10.7,4.0,11.5,14.4,59.8,11.9,73
Pat Connaughton,MIL,28,209,Notre Dame,USA,2015,2,41,57,7.1,4.8,1.2,8.0,4.2,14.7,11.5,59.6,6.7,77
Pascal Siakam,TOR,27,230,New Mexico State,Cameroon,2016,1,27,49,21.1,7.2,4.7,4.3,4.4,15.6,25.7,55.3,20.4,81
PJ Dozier,DEN,24,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,46,7.6,3.7,1.8,9.8,3.4,13.9,16.5,50.8,12.0,78
P.J. Washington,CHA,22,230,Kentucky,USA,2019,1,12,53,12.3,6.4,2.6,1.2,4.6,16.4,19.1,55.2,12.8,79
P.J. Tucker,MIL,35,245,Texas-Austin,USA,2006,2,35,41,4.0,4.2,1.2,-6.4,3.5,11.9,7.7,50.0,5.9,77
Otto Porter Jr.,ORL,27,198,Georgetown,USA,2013,1,3,28,9.7,5.4,2.0,-3.0,4.4,19.8,18.4,55.2,13.3,80
Oshae Brissett,IND,22,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,9,8.4,4.3,0.6,18.8,6.8,14.6,14.5,67.6,3.9,79
Onyeka Okongwu,ATL,20,235,Southern California,USA,2020,1,6,40,3.9,3.0,0.2,-9.2,8.8,18.4,13.5,62.5,3.2,80
Obi Toppin,NYK,23,220,Dayton,USA,2020,1,8,52,4.0,2.3,0.5,1.6,3.7,15.8,15.7,56.3,6.5,81
OG Anunoby,TOR,23,232,Indiana,United Kingdo...,2017,1,23,40,15.5,5.6,2.0,4.0,3.9,12.5,18.9,60.9,9.1,79
Norvel Pelle,NYK,28,231,Iona,USA,Undrafted,Undrafted,Undrafted,8,2.0,1.9,0.1,13.1,9.3,16.9,12.9,54.6,2.3,82
Norman Powell,POR,27,215,UCLA,USA,2015,2,46,58,18.9,3.0,1.9,0.1,1.8,7.8,22.7,62.4,9.3,75
Noah Vonleh,BKN,25,257,Indiana,USA,2014,1,9,4,0.0,0.3,0.3,-63.2,0.0,14.3,21.7,0.0,14.3,82
Nikola Vucevic,CHI,30,260,Southern California,Montenegro,2011,1,16,62,23.9,11.3,3.7,-7.9,5.7,28.5,29.1,57.5,20.5,83
Nikola Jokic,DEN,26,284,None,Serbia,2014,2,41,61,26.2,11.0,8.7,8.0,8.7,23.5,29.0,64.5,38.3,83
Nicolo Melli,DAL,30,236,None,Italy,Undrafted,Undrafted,Undrafted,35,2.3,2.7,1.0,4.0,4.2,17.1,10.9,40.1,10.8,81
Nicolas Claxton,BKN,22,215,Georgia,USA,2019,2,31,25,6.6,5.0,1.1,13.3,7.8,18.1,14.1,58.5,8.3,83
Nicolas Batum,LAC,32,230,None,France,2008,1,25,59,8.2,4.9,2.3,9.6,3.0,14.4,11.6,61.2,10.6,80
Nico Mannion,GSW,20,190,Arizona,Italy,2020,2,48,24,4.3,1.4,2.2,-9.2,1.0,10.5,19.3,48.1,25.5,74
Nickeil Alexander-Walker,NOP,22,205,Virginia Tech,Canada,2019,1,17,41,10.2,3.1,2.0,-2.9,1.1,13.5,22.1,52.4,14.5,78
Nick Richards,CHA,23,245,Kentucky,Jamaica,2020,2,42,17,0.9,0.5,0.1,-10.0,2.9,9.7,10.8,58.4,5.7,84
Nerlens Noel,NYK,27,220,Kentucky,USA,2013,1,6,55,5.1,6.5,0.8,1.4,9.8,16.9,9.4,63.7,4.4,83
Nemanja Bjelica,MIA,32,234,None,Serbia,2010,2,35,35,6.0,3.3,1.7,-8.1,4.6,17.9,17.8,53.7,15.3,82
Naz Reid,MIN,21,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,60,11.1,4.5,1.1,-10.1,5.1,17.3,21.8,60.1,9.1,81
Nathan Knight,ATL,23,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,28,3.6,2.0,0.2,-5.7,9.1,14.6,20.6,50.6,4.3,82
Nate Hinton,DAL,21,210,Houston,USA,Undrafted,Undrafted,Undrafted,14,1.5,0.4,0.3,-21.5,1.8,7.3,21.7,46.4,16.7,77
Nate Darling,CHA,22,200,Delaware,Canada,Undrafted,Undrafted,Undrafted,6,1.5,0.2,0.2,-56.0,3.6,0.0,14.5,54.1,14.3,78
Nassir Little,POR,21,220,North Carolina,USA,2019,1,25,40,4.9,2.9,0.5,-3.2,4.9,14.9,13.3,59.9,4.9,77
Naji Marshall,NOP,23,220,Xavier,USA,Undrafted,Undrafted,Undrafted,21,5.9,3.7,2.6,0.8,1.4,16.8,14.2,49.3,17.3,79
Myles Turner,IND,25,250,Texas-Austin,USA,2015,1,11,47,12.6,6.5,1.0,1.3,4.3,15.9,16.7,59.9,4.7,83
Mychal Mulder,GSW,26,184,Kentucky,Canada,Undrafted,Undrafted,Undrafted,49,4.0,0.8,0.4,0.3,0.4,6.3,14.3,58.3,4.8,75
Moses Brown,OKC,21,245,UCLA,USA,Undrafted,Undrafted,Undrafted,32,8.5,8.3,0.2,-18.3,14.0,23.2,16.1,57.6,1.4,86
Moritz Wagner,ORL,24,245,Michigan,Germany,2018,1,25,34,5.6,2.7,1.1,0.0,3.5,15.7,17.9,59.2,12.9,83
Montrezl Harrell,LAL,27,240,Louisville,USA,2015,2,32,60,14.0,6.6,1.1,3.1,10.1,16.8,20.9,65.0,7.6,79
Monte Morris,DEN,25,183,Iowa State,USA,2017,2,51,44,10.3,2.2,3.2,7.1,0.9,7.3,15.8,57.2,16.7,74
Mo Bamba,ORL,22,231,Texas-Austin,USA,2018,1,6,37,7.2,4.8,0.6,-11.7,9.2,23.9,21.3,57.3,7.2,84
Miye Oni,UTA,23,206,Yale,USA,2019,2,58,44,2.0,1.6,0.4,8.6,4.5,11.0,10.7,51.3,5.5,77
Mitchell Robinson,NYK,23,240,Western Kentucky,USA,2018,2,36,31,8.3,8.1,0.5,-0.4,12.4,15.5,11.4,64.2,3.0,84
Miles Bridges,CHA,23,225,Michigan State,USA,2018,1,12,60,11.9,6.1,2.1,1.6,4.2,16.2,16.4,62.8,10.5,78
Mike Scott,PHI,32,237,Virginia,USA,2012,2,43,41,4.4,2.6,0.7,0.5,1.2,13.3,11.3,51.3,5.5,79
Mike Muscala,OKC,29,240,Bucknell,USA,2013,2,44,35,9.7,3.8,0.8,0.6,2.8,15.7,19.4,59.9,6.9,82
Mike James,BKN,30,175,Lamar,USA,Undrafted,Undrafted,Undrafted,2,5.0,1.5,1.5,21.3,3.3,7.1,19.7,43.0,14.3,73
Mike Conley,UTA,33,175,Ohio State,USA,2007,1,4,49,16.4,3.4,6.0,15.9,2.4,8.0,22.4,59.0,30.0,73
Mikal Bridges,PHX,24,209,Villanova,USA,2018,1,10,61,13.1,4.4,2.2,6.7,3.7,9.9,14.7,64.6,8.9,78
Michael Porter Jr.,DEN,22,218,Missouri,USA,2018,1,14,51,18.5,7.6,1.0,8.3,5.8,19.1,20.8,66.2,4.7,82
Michael Carter-Williams,ORL,29,190,Syracuse,USA,2013,1,11,31,8.8,4.5,4.2,-2.5,4.4,12.3,19.8,44.9,23.8,77
Mfiondu Kabengele,CLE,23,250,Florida State,Canada,2019,1,27,28,1.3,0.7,0.3,-6.3,0.8,12.6,17.3,41.4,8.8,81
Meyers Leonard,MIA,29,260,Illinois,USA,2012,1,11,3,3.3,2.3,0.7,-1.4,0.0,24.1,15.2,63.5,10.5,84
Maxi Kleber,DAL,29,240,None,Germany,Undrafted,Undrafted,Undrafted,44,7.0,5.3,1.3,4.2,3.4,15.1,10.2,60.3,6.4,82
Max Strus,MIA,25,215,DePaul,USA,Undrafted,Undrafted,Undrafted,33,5.5,0.9,0.5,-7.9,0.8,6.5,17.3,59.4,6.9,77
Maurice Harkless,SAC,27,220,St. John's,USA,2012,1,15,27,4.5,2.1,0.9,-5.5,2.0,9.3,10.3,56.3,6.3,79
Matthew Dellavedova,CLE,30,200,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,13,2.8,1.8,4.5,-3.1,2.9,8.5,12.5,31.2,33.7,75
Matt Thomas,UTA,26,190,Iowa State,USA,Undrafted,Undrafted,Undrafted,35,2.7,0.9,0.4,-8.5,1.8,9.9,17.4,47.9,8.5,76
Matisse Thybulle,PHI,24,201,Washington,USA,2019,1,20,58,3.8,2.0,0.9,3.5,2.5,7.2,8.8,50.7,6.3,77
Mason Plumlee,DET,31,254,Duke,USA,2013,1,22,55,10.3,9.3,3.6,-4.5,9.4,26.7,16.2,63.7,20.3,83
Mason Jones,PHI,22,200,Arkansas,USA,Undrafted,Undrafted,Undrafted,32,5.3,1.7,1.3,-9.9,1.8,14.5,21.7,55.6,21.1,76
Marvin Bagley III,SAC,22,235,Duke,USA,2018,1,2,37,13.9,7.4,0.9,-5.7,9.1,19.5,22.5,55.3,5.3,83
Marquese Chriss,GSW,23,240,Washington,USA,2016,1,8,2,6.5,6.5,1.0,-40.3,7.5,38.5,25.0,41.2,20.0,81
Marques Bolden,CLE,23,249,Duke,USA,2019,,,6,1.2,1.0,0.0,12.3,8.3,8.8,13.6,53.7,0.0,82
