Player,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT
Jared Harper,NYK,23,175,Auburn,USA,Undrafted,Undrafted,Undrafted,4,0.5,0.0,0.0,-18.6,0.0,0.0,20.0,34.7,0.0,70
Jared Dudley,LAL,35,237,Boston College,USA,2007,1,22,11,0.5,1.7,0.5,-0.7,4.9,20.0,4.8,42.9,8.3,78
James Wiseman,GSW,20,240,Memphis,USA,2020,1,2,39,11.5,5.8,0.7,-8.8,6.3,19.0,23.1,55.2,5.0,84
James Nunnally,NOP,30,205,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,4,2.8,1.0,0.0,-20.9,3.0,12.5,13.2,68.8,0.0,79
James Johnson,NOP,34,240,Wake Forest,USA,2009,1,16,40,6.8,3.3,2.0,-4.0,2.6,12.8,16.3,51.4,14.1,79
James Harden,BKN,31,220,Arizona State,USA,2009,1,3,42,25.2,8.0,10.9,2.7,2.4,19.1,28.6,61.6,43.9,77
James Ennis III,ORL,30,215,California State-Long Beach,USA,2013,2,50,39,8.6,4.1,1.5,-4.7,4.2,12.2,13.7,61.5,8.7,78
Jamal Murray,DEN,24,215,Kentucky,Canada,2016,1,7,48,21.2,4.0,4.8,8.0,2.3,9.5,24.4,59.2,19.7,75
Jalen Smith,PHX,21,215,Maryland,USA,2020,1,10,21,1.2,0.9,0.1,-1.5,6.7,13.1,17.2,39.9,3.5,82
Jalen McDaniels,CHA,23,205,San Diego State,USA,2019,2,52,35,6.5,2.8,1.0,-6.3,3.8,12.8,17.9,53.5,9.2,81
Jalen Lecque,IND,20,185,None,USA,Undrafted,Undrafted,Undrafted,4,1.3,1.3,0.5,-14.8,8.3,20.0,26.3,24.2,33.3,76
Jalen Harris,TOR,22,195,Nevada,USA,2020,2,59,4,0.8,0.8,0.5,29.8,5.0,16.7,12.8,37.5,14.3,77
Jalen Brunson,DAL,24,190,Villanova,USA,2018,2,33,56,12.5,3.6,3.5,4.3,1.8,11.7,19.4,61.6,20.8,73
Jakob Poeltl,SAS,25,245,Utah,Austria,2016,1,9,59,8.5,8.0,1.9,3.9,11.9,17.3,13.1,62.1,9.4,85
Jake Layman,MIN,27,209,Maryland,USA,2016,2,47,42,5.3,1.5,0.7,-5.7,2.0,8.2,14.7,57.8,7.0,80
