#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
11,Tyus Jones,MEM,57,18.7,2.8,6.4,0.437,0.7,2.2,0.315,0.6,0.6,0.917,0.7,0.5,0.4,1.8,2.1,4,1,0.1,6.9
12,"Xavier Tillman, Sr.",MEM,49,19.1,2.9,5.3,0.552,0.4,1.1,0.321,0.6,1,0.66,0.7,2.2,1.3,3.1,4.4,1.3,0.8,0.6,6.8
13,Justise Winslow,MEM,20,20.1,3,8.5,0.347,0.3,2.1,0.14,0.5,0.9,0.556,1.6,1.9,0.7,3.6,4.3,1.8,0.8,0.4,6.7
14,John Konchar,MEM,34,13.7,1.4,3,0.456,0.4,1.2,0.366,0.6,0.7,0.833,0.5,1,0.7,2.1,2.8,1.1,0.9,0.2,3.8
15,Killian Tillie,MEM,13,9,0.9,3,0.308,0.5,1.8,0.25,0.3,0.4,0.8,0.1,1.2,0.5,0.8,1.3,0.3,0.4,0.5,2.6
16,Sean McDermott,MEM,17,9.2,0.8,1.9,0.394,0.3,1.3,0.227,0.5,0.5,1,0.2,0.5,0.4,0.8,1.1,0.2,0.1,0.2,2.3
17,Tim Frazier,MEM,3,10.8,0.7,2.7,0.25,0,0.7,0,0,0,0,1,1.3,0,1.3,1.3,2.3,0.3,0,1.3
18,Jontay Porter,MEM,7,3.1,0.4,1.1,0.375,0.3,0.9,0.333,0,0,0,0.7,0.9,0.3,1,1.3,0.1,0.3,0,1.1
1,Jimmy Butler,MIA,44,33.9,7,14.2,0.493,0.4,2,0.218,6.8,7.9,0.857,2.2,1.5,1.8,5.2,7,7.3,2.1,0.4,21.3
2,Bam Adebayo,MIA,54,33.5,7.2,12.7,0.566,0,0.1,0.25,4.6,5.7,0.803,2.7,2.2,2.3,6.9,9.1,5.3,1.1,1.1,19.1
3,Tyler Herro,MIA,48,30.7,5.6,13.1,0.427,1.9,5.5,0.344,1.9,2.3,0.809,1.9,1.3,0.5,4.4,4.9,3.4,0.7,0.4,14.9
