Player,Position,SALARY
Jaxson Hayes,C,5105160
Willy Hernangomez,C,1620564
Brandon Ingram,SF,27285000
Wes Iwundu,SF,1678854
James Johnson,PF,16047100
Kira Lewis Jr.,PG,3640200
Marcos Louzada Silva,G,--
Naji Marshall,SF,--
James Nunnally,F,1349383
Zion Williamson,PF,10245480
Keita Bates-Diop,SF,1663861
DeMar DeRozan,SF,27739975
Gorgui Dieng,C,17287640
Drew Eubanks,PF,1620564
Rudy Gay,SF,14500000
Keldon Johnson,SF,2048040
Tre Jones,PG,898310
Trey Lyles,PF,5500000
Patty Mills,PG,13535714
Dejounte Murray,PG,14286000
Jakob Poeltl,C,8101852
Luka Samanic,PF,2892000
Devin Vassell,SG,4033440
Lonnie Walker IV,SG,2892000
Quinndary Weatherspoon,SG,--
Derrick White,PG,3516284
Bogdan Bogdanovic,SG,18000000
Clint Capela,C,16000000
John Collins,PF,4137302
Kris Dunn,PG,4767000
Bruno Fernando,PF,1517981
Danilo Gallinari,PF,19500000
Brandon Goodwin,PG,1701593
Solomon Hill,SF,1620564
Kevin Huerter,SG,2761920
De'Andre Hunter,SF,7422000
Nathan Knight,PF,--
Skylar Mays,SG,--
Onyeka Okongwu,PF,5813640
Cam Reddish,SF,4458000
Tony Snell,SF,12178571
Lou Williams,SG,8000000
Trae Young,PG,6571800
LaMelo Ball,PG,7839960
Bismack Biyombo,C,3500000
Miles Bridges,SF,3934320
Vernon Carey Jr.,C,1350000
Nate Darling,SG,--
Devonte' Graham,PG,1517981
Gordon Hayward,SF,28500000
Caleb Martin,SF,1517981
Cody Martin,SF,1173310
Jalen McDaniels,PF,1517981
Malik Monk,SG,5345687
Nick Richards,C,1000000
Grant Riller,PG,--
Terry Rozier,SG,18900000
Brad Wanamaker,PG,2250000
P.J. Washington,PF,4023600
Cody Zeller,C,15415730
Precious Achiuwa,PF,2582160
Bam Adebayo,C,5115492
Trevor Ariza,SF,12800000
Nemanja Bjelica,F,7150000
Jimmy Butler,SF,34379100
Dewayne Dedmon,C,--
Goran Dragic,PG,18000000
Udonis Haslem,PF,1620564
Tyler Herro,PG,2582160
Andre Iguodala,SF,15000000
Kendrick Nunn,SG,1663861
KZ Okpala,SF,1517981
Victor Oladipo,SG,21000000
Duncan Robinson,SG,1663861
Max Strus,SG,898310
Gabe Vincent,PG,--
Cole Anthony,PG,3285120
Dwayne Bacon,SG,1678854
Mo Bamba,C,5969040
Ignas Brazdeikis,F,1517981
Wendell Carter Jr.,C,5448840
Michael Carter-Williams,PG,3300000
James Ennis III,SF,3300000
Markelle Fultz,PG,12288697
R.J. Hampton,PG,2193040
Gary Harris,SG,19610714
Jonathan Isaac,PF,7362566
Chuma Okeke,PF,3121080
Otto Porter Jr.,SF,28489237
Chasson Randle,PG,--
Terrence Ross,SG,13500000
Sindarius Thornwell,G,--
Moritz Wagner,C,2161920
Deni Avdija,SF,4469160
Bradley Beal,SG,28751775
Davis Bertans,SF,15000000
Isaac Bonga,G,1663861
Thomas Bryant,C,8333333
Daniel Gafford,C,1517981
Anthony Gill,PF,898310
Rui Hachimura,PF,4692840
Chandler Hutchison,F,2443440
Alex Len,C,1265372
Robin Lopez,C,7300000
Garrison Mathews,G,--
Raul Neto,PG,1620564
Ish Smith,PG,6000000
Russell Westbrook,PG,41358814
Cassius Winston,PG,--
Will Barton,SF,13723214
Bol Bol,C,2058240
Facundo Campazzo,PG,3200000
Vlatko Cancar,SF,1517981
PJ Dozier,SG,1762796
Aaron Gordon,PF,18136364
JaMychal Green,PF,7199760
Shaquille Harrison,G,1620564
Markus Howard,PG,--
Nikola Jokic,C,29542010
JaVale McGee,C,4200000
Paul Millsap,PF,1000000
Monte Morris,PG,1588231
Jamal Murray,PG,27285000
Zeke Nnaji,PF,2284800
Michael Porter Jr.,SF,3550800
Austin Rivers,G,3500000
Malik Beasley,SG,13425895
Jarrett Culver,SF,6104280
Ed Davis,C,5005350
Anthony Edwards,SF,9757440
Juancho Hernangomez,PF,6493000
Jake Layman,SF,3761085
Jaden McDaniels,PF,1964760
Jordan McLaughlin,PG,--
Jaylen Nowell,SG,1517981
Josh Okogie,SF,2651040
Naz Reid,C,1517981
Ricky Rubio,PG,17000000
D'Angelo Russell,PG,28649250
Karl-Anthony Towns,C,29467800
Jarred Vanderbilt,PF,1663361
Darius Bazley,PF,2339160
Tony Bradley,C,3542060
Moses Brown,C,--
Charlie Brown Jr.,F,--
Gabriel Deck,F,--
Luguentz Dort,SF,1517981
Shai Gilgeous-Alexander,SG,4141320
Josh Hall,SF,--
Jaylen Hoard,F,--
Al Horford,C,27500000
Ty Jerome,SG,2303040
Theo Maledon,PG,2000000
Mike Muscala,C,2283034
Svi Mykhailiuk,SG,1663861
Aleksej Pokusevski,PF,2964840
Isaiah Roby,C,1517981
Kenrich Williams,SF,1416852
Carmelo Anthony,PF,1620564
Keljin Blevins,SF,--
Zach Collins,PF,5406255
Robert Covington,PF,12138345
CJ Elleby,SG,898310
Harry Giles III,PF,1620564
Rondae Hollis-Jefferson,F,--
Derrick Jones Jr.,SF,9258000
Enes Kanter,C,5005350
T.J. Leaf,F,4326825
Damian Lillard,PG,31626953
Nassir Little,SF,2210640
CJ McCollum,SG,29354152
Jusuf Nurkic,C,12888889
Norman Powell,SF,10865952
Anfernee Simons,SG,2252040
Udoka Azubuike,C,1977000
Bojan Bogdanovic,SF,17850000
Jarrell Brantley,PF,--
Jordan Clarkson,PG,11500000
Mike Conley,PG,34502130
Derrick Favors,C,9258000
Trent Forrest,SG,--
Rudy Gobert,C,27525281
Elijah Hughes,SF,898310
Ersan Ilyasova,PF,--
Joe Ingles,SG,10863637
Donovan Mitchell,SG,5195501
Juwan Morgan,SF,1517981
Georges Niang,SF,1783557
Royce O'Neale,PF,8500000
Miye Oni,SG,1517981
Matt Thomas,SG,1517981
