Player,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Quinn Cook,CLE,28,1-Jun,180,Duke,USA,Undrafted,Undrafted,Undrafted,23,3.3,0.7,0.8,-3.9,1.20%,8.40%,20.40%,53.10%,18.40%
Precious Achiuwa,MIA,21,8-Jun,225,Memphis,Nigeria,2020,1,20,55,5,3.6,0.5,-8.3,9.90%,17.60%,18.20%,54.90%,6.50%
Payton Pritchard,BOS,23,1-Jun,195,Oregon,USA,2020,1,26,55,7.3,2.3,1.8,0.2,2.70%,9.10%,15.60%,58.70%,13.80%
Paul Watson,TOR,26,6-Jun,210,Fresno State,USA,Undrafted,Undrafted,Undrafted,27,4.1,1.7,0.6,-1.7,1.20%,12.90%,13.30%,64.90%,8.10%
Paul Reed,PHI,21,9-Jun,210,DePaul,USA,2020,2,58,19,3,2.2,0.4,13.5,13.30%,15.60%,20.00%,51.10%,8.80%
Paul Millsap,DEN,36,7-Jun,257,Louisiana Tech,USA,2006,2,47,48,8.9,4.8,1.7,2.8,6.60%,17.20%,17.70%,57.80%,10.60%
Paul George,LAC,30,8-Jun,220,Fresno State,USA,2010,1,10,47,23.7,6.5,5.3,11.2,2.80%,16.70%,29.60%,60.90%,24.70%
Patty Mills,SAS,32,1-Jun,180,St.Mary's College of California,Australia,2009,2,55,57,11.5,1.7,2.5,3.7,1.10%,5.10%,17.80%,58.30%,14.30%
Patrick Williams,CHI,19,7-Jun,215,Florida State,USA,2020,1,4,60,9.1,4.7,1.4,-6.6,3.20%,13.30%,14.50%,55.90%,6.70%
Patrick Patterson,LAC,32,8-Jun,235,Kentucky,USA,2010,1,14,34,5.1,1.9,0.6,5.3,3.00%,9.60%,13.80%,58.50%,6.40%
Patrick McCaw,TOR,25,7-Jun,181,UNLV,USA,2016,2,38,5,1,0.6,0.8,-33,2.70%,7.10%,2.60%,107.80%,19.00%
Patrick Beverley,LAC,32,1-Jun,180,Arkansas,USA,2009,2,42,31,8,3.6,2.1,10.7,4.00%,11.50%,14.40%,59.80%,11.90%
Pat Connaughton,MIL,28,5-Jun,209,Notre Dame,USA,2015,2,41,57,7.1,4.8,1.2,8,4.20%,14.70%,11.50%,59.60%,6.70%
Pascal Siakam,TOR,27,9-Jun,230,New Mexico State,Cameroon,2016,1,27,49,21.1,7.2,4.7,4.3,4.40%,15.60%,25.70%,55.30%,20.40%
PJ Dozier,DEN,24,6-Jun,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,46,7.6,3.7,1.8,9.8,3.40%,13.90%,16.50%,50.80%,12.00%
P.J. Washington,CHA,22,7-Jun,230,Kentucky,USA,2019,1,12,53,12.3,6.4,2.6,1.2,4.60%,16.40%,19.10%,55.20%,12.80%
P.J. Tucker,MIL,35,5-Jun,245,Texas-Austin,USA,2006,2,35,41,4,4.2,1.2,-6.4,3.50%,11.90%,7.70%,50.00%,5.90%
Otto Porter Jr.,ORL,27,8-Jun,198,Georgetown,USA,2013,1,3,28,9.7,5.4,2,-3,4.40%,19.80%,18.40%,55.20%,13.30%
Oshae Brissett,IND,22,7-Jun,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,9,8.4,4.3,0.6,18.8,6.80%,14.60%,14.50%,67.60%,3.90%
