#,Player,Team,GP_x,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP_y,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT,Position,SALARY
7,Gary Harris,DEN,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,1.2,1.6,0.733,0.7,1.9,0.7,1.8,2.5,1.7,0.9,0.2,9.7,ORL,26,210,Michigan State,USA,2014,1,19,28,10.3,2.1,1.9,1.5,2.1,5.3,15.7,51.7,8.5,76,SG,19610714
8,Gary Harris,ORL,8,26.4,3.2,9.9,0.329,1.1,2.9,0.391,3.1,3.8,0.833,1.0,1.9,0.5,1.0,1.5,2.4,0.5,0.4,10.8,ORL,26,210,Michigan State,USA,2014,1,19,28,10.3,2.1,1.9,1.5,2.1,5.3,15.7,51.7,8.5,76,SG,19610714
8,Paul Millsap,DEN,47,21.2,3.3,6.9,0.486,0.9,2.6,0.358,1.3,1.8,0.706,0.9,2.0,1.4,3.4,4.8,1.7,0.8,0.7,8.9,DEN,36,257,Louisiana Tech,USA,2006,2,47,48,8.9,4.8,1.7,2.8,6.6,17.2,17.7,57.8,10.6,79,PF,1000000
9,JaMychal Green,DEN,47,18.7,3.0,6.4,0.472,1.4,3.4,0.411,0.8,1.0,0.844,0.9,2.5,1.5,3.4,4.9,0.8,0.5,0.4,8.2,DEN,30,227,Alabama,USA,Undrafted,Undrafted,Undrafted,48,8.1,4.9,0.8,5.0,7.3,18.5,17.3,60.2,6.0,80,PF,7199760
11,Austin Rivers,DEN,3,21.8,2.3,5.3,0.438,1.0,3.3,0.3,1.0,1.3,0.75,0.3,1.7,0.3,2.7,3.0,1.7,0.0,0.3,6.7,DEN,28,200,Duke,USA,2012,1,10,25,7.2,2.3,2.0,-5.0,1.1,9.4,15.5,53.9,14.1,76,G,3500000
9,Austin Rivers,NYK,21,21.1,2.8,6.4,0.43,1.3,3.7,0.364,0.5,0.7,0.714,1.0,1.5,0.2,2.0,2.2,2.0,0.6,0.0,7.3,DEN,28,200,Duke,USA,2012,1,10,25,7.2,2.3,2.0,-5.0,1.1,9.4,15.5,53.9,14.1,76,G,3500000
12,Facundo Campazzo,DEN,54,19.9,1.6,4.3,0.375,1.1,3.1,0.37,0.9,1.1,0.845,1.0,2.1,0.3,1.4,1.6,3.1,1.0,0.2,5.3,DEN,30,195,None,Argentina,Undrafted,Undrafted,Undrafted,55,5.3,1.7,3.1,2.6,1.5,6.9,12.3,54.8,20.4,70,PG,3200000
15,Zeke Nnaji,DEN,38,9.4,1.2,2.4,0.484,0.5,1.4,0.385,0.3,0.4,0.8,0.2,0.7,0.3,1.2,1.5,0.2,0.2,0.1,3.2,DEN,20,240,Arizona,USA,2020,1,22,39,3.1,1.5,0.2,-10.7,3.6,12.7,12.6,61.2,3.2,81,PF,2284800
16,Shaquille Harrison,DEN,5,13.4,1.4,2.6,0.538,0.0,0.2,0.0,0.2,0.2,1.0,0.4,1.2,0.2,0.6,0.8,0.4,1.2,0.0,3.0,DEN,27,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,23,1.5,0.7,0.5,-13.8,2.8,8.8,13.6,43.2,13.2,79,G,1620564
18,Shaquille Harrison,UTA,17,3.3,0.4,1.2,0.3,0.0,0.1,0.0,0.3,0.4,0.833,0.3,0.2,0.2,0.4,0.5,0.5,0.1,0.0,1.0,DEN,27,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,23,1.5,0.7,0.5,-13.8,2.8,8.8,13.6,43.2,13.2,79,G,1620564
17,R.J. Hampton,DEN,25,9.3,1.0,2.4,0.417,0.2,0.7,0.278,0.4,0.5,0.75,0.4,0.9,0.4,1.6,2.0,0.6,0.2,0.1,2.6,ORL,20,175,None,USA,2020,1,24,41,5.1,2.7,1.0,-18.3,3.0,15.2,17.4,49.3,10.1,76,PG,2193040
10,R.J. Hampton,ORL,15,23.1,3.8,8.7,0.435,0.7,2.6,0.282,1.1,1.8,0.63,1.5,1.5,0.6,3.3,3.9,1.6,0.8,0.3,9.5,ORL,20,175,None,USA,2020,1,24,41,5.1,2.7,1.0,-18.3,3.0,15.2,17.4,49.3,10.1,76,PG,2193040
18,Bol Bol,DEN,26,4.8,0.9,1.7,0.511,0.3,0.8,0.45,0.3,0.5,0.583,0.5,0.5,0.0,0.7,0.7,0.3,0.1,0.4,2.4,DEN,21,220,Oregon,Sudan,2019,2,44,27,2.4,0.7,0.3,-23.4,0.0,14.3,20.4,62.1,8.5,86,C,2058240
19,Vlatko Cancar,DEN,33,5.5,0.5,1.3,0.405,0.2,0.7,0.227,0.2,0.2,0.875,0.4,0.4,0.2,0.9,1.1,0.3,0.3,0.1,1.4,DEN,24,236,None,Slovenia,2017,2,49,34,1.4,1.1,0.3,-21.7,3.0,16.2,12.7,51.6,7.8,80,SF,1517981
20,Markus Howard,DEN,29,3.3,0.4,1.7,0.26,0.2,1.2,0.171,0.0,0.1,0.5,0.2,0.5,0.0,0.4,0.4,0.3,0.1,0.0,1.1,DEN,22,175,Marquette,USA,Undrafted,Undrafted,Undrafted,30,1.1,0.4,0.4,-27.8,0.0,11.2,22.9,32.4,19.4,70,PG,0
1,Jerami Grant,DET,52,34.2,7.5,17.4,0.429,2.2,6.2,0.354,5.4,6.3,0.852,2.0,2.4,0.7,4.0,4.7,2.9,0.7,1.1,22.6,DET,27,210,Syracuse,USA,2014,2,39,53,22.5,4.6,2.8,-2.7,1.8,11.8,27.8,55.6,14.6,80,SF,19050000
2,Derrick Rose,DET,15,22.8,5.3,12.3,0.429,0.9,2.6,0.333,2.8,3.3,0.84,1.9,1.1,0.4,1.5,1.9,4.2,1.2,0.3,14.2,NYK,32,200,Memphis,USA,2008,1,1,41,14.0,2.4,4.1,3.7,1.4,7.6,25.3,53.1,28.5,74,PG,7682927
3,Derrick Rose,NYK,25,25.8,5.4,11.6,0.46,0.9,2.5,0.365,1.9,2.3,0.842,1.3,1.2,0.3,2.2,2.5,4.0,1.0,0.5,13.6,NYK,32,200,Memphis,USA,2008,1,1,41,14.0,2.4,4.1,3.7,1.4,7.6,25.3,53.1,28.5,74,PG,7682927
3,Josh Jackson,DET,56,25.0,4.9,11.6,0.427,1.2,4.1,0.304,2.5,3.4,0.731,2.2,2.9,0.9,3.1,4.0,2.2,0.9,0.7,13.7,DET,24,207,Kansas,USA,2017,1,4,56,13.7,4.0,2.2,-1.8,3.5,12.2,25.5,52.2,14.4,80,SG,4767000
5,Cory Joseph,DET,15,26.3,4.5,8.9,0.504,0.7,1.9,0.393,2.1,2.4,0.861,1.8,2.1,0.5,2.7,3.2,5.5,1.2,0.4,11.7,DET,29,200,Texas-Austin,Canada,2011,1,29,60,8.0,2.5,3.2,-5.5,2.4,8.4,15.6,55.9,19.7,75,PG,12600000
12,Cory Joseph,SAC,44,21.5,2.5,5.7,0.444,0.7,2.1,0.33,0.8,1.1,0.766,1.0,2.2,0.6,1.7,2.2,2.5,0.9,0.2,6.6,DET,29,200,Texas-Austin,Canada,2011,1,29,60,8.0,2.5,3.2,-5.5,2.4,8.4,15.6,55.9,19.7,75,PG,12600000
6,Saddiq Bey,DET,59,25.9,3.7,9.1,0.403,2.3,6.2,0.375,1.7,1.9,0.868,0.8,1.6,0.6,3.6,4.2,1.2,0.7,0.1,11.3,DET,22,215,Villanova,USA,2020,1,19,60,11.3,4.2,1.2,-4.3,2.2,14.2,17.7,57.0,7.3,79,SF,2689920
7,Delon Wright,DET,36,29.2,3.8,8.1,0.464,0.9,2.5,0.348,2.0,2.5,0.789,1.3,1.2,1.0,3.5,4.6,5.0,1.6,0.5,10.4,SAC,29,185,Utah,USA,2015,1,20,52,9.6,4.1,4.2,-4.3,3.5,12.4,15.7,56.2,23.5,77,G,9000000
9,Delon Wright,SAC,15,21.2,2.7,6.0,0.444,0.9,2.3,0.412,1.6,1.8,0.889,0.6,0.9,0.7,2.1,2.8,2.3,1.3,0.1,7.9,SAC,29,185,Utah,USA,2015,1,20,52,9.6,4.1,4.2,-4.3,3.5,12.4,15.7,56.2,23.5,77,G,9000000
8,Mason Plumlee,DET,54,26.9,4.1,6.8,0.609,0.0,0.1,0.0,2.1,3.1,0.673,1.9,3.4,2.6,6.8,9.4,3.6,0.8,0.9,10.4,DET,31,254,Duke,USA,2013,1,22,55,10.3,9.3,3.6,-4.5,9.4,26.7,16.2,63.7,20.3,83,C,8000000
9,Wayne Ellington,DET,43,21.9,3.3,7.3,0.449,2.5,5.9,0.427,0.7,0.8,0.8,0.7,1.4,0.3,1.6,1.9,1.4,0.4,0.2,9.7,DET,33,207,North Carolina,USA,2009,1,28,44,9.6,1.9,1.4,-4.0,1.2,7.4,16.0,62.9,9.7,76,SG,1620564
10,Frank Jackson,DET,32,16.5,2.9,6.3,0.458,1.4,3.5,0.405,1.3,1.6,0.788,0.8,1.2,0.4,1.6,2.0,0.7,0.2,0.0,8.4,DET,22,205,Duke,USA,2017,2,31,33,8.7,2.0,0.7,0.3,2.2,9.4,20.2,60.9,6.7,75,PG,0
11,Hamidou Diallo,DET,14,20.3,2.9,7.0,0.418,0.6,1.4,0.421,1.8,2.6,0.694,1.2,2.4,1.1,3.4,4.5,1.1,0.4,0.6,8.2,DET,22,202,Kentucky,USA,2018,2,45,47,10.9,4.9,2.0,-8.5,5.0,15.1,21.6,53.0,13.9,77,SG,1416852
5,Hamidou Diallo,OKC,32,23.8,4.5,9.3,0.481,0.4,1.3,0.293,2.6,4.1,0.629,1.5,2.6,1.2,4.0,5.2,2.4,1.0,0.4,11.9,DET,22,202,Kentucky,USA,2018,2,45,47,10.9,4.9,2.0,-8.5,5.0,15.1,21.6,53.0,13.9,77,SG,1416852
14,Svi Mykhailiuk,DET,36,17.6,2.3,6.2,0.377,1.6,4.8,0.333,0.7,0.8,0.8,1.1,0.9,0.3,1.8,2.1,1.6,0.8,0.2,6.9,OKC,23,205,Kansas,Ukraine,2018,2,47,57,7.9,2.5,1.6,-7.9,1.9,10.3,18.1,53.2,12.3,79,SG,1663861
7,Svi Mykhailiuk,OKC,20,23.9,4.0,8.8,0.457,1.4,4.3,0.337,0.5,0.8,0.667,1.7,0.9,0.6,2.8,3.4,1.8,0.7,0.2,9.9,OKC,23,205,Kansas,Ukraine,2018,2,47,57,7.9,2.5,1.6,-7.9,1.9,10.3,18.1,53.2,12.3,79,SG,1663861
15,Killian Hayes,DET,16,22.8,2.4,7.1,0.345,0.6,2.3,0.243,0.5,0.6,0.889,2.8,1.9,0.2,1.9,2.1,4.4,0.9,0.4,5.9,DET,19,195,None,France,2020,1,7,17,5.7,2.2,4.4,-7.5,1.2,8.3,18.2,39.8,27.2,77,PG,5307120
16,Rodney McGruder,DET,16,12.1,2.3,4.4,0.529,0.7,1.5,0.458,0.4,0.5,0.75,0.4,0.8,0.5,0.9,1.4,1.0,0.5,0.1,5.7,DET,29,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,16,5.7,1.4,1.0,-4.0,4.2,7.8,17.9,61.9,12.8,76,SG,5192307
17,Saben Lee,DET,37,15.5,1.9,4.1,0.464,0.2,0.4,0.438,1.4,2.0,0.676,1.1,1.6,0.4,1.7,2.1,3.4,0.7,0.3,5.4,DET,21,183,Vanderbilt,USA,2020,2,38,38,5.2,2.1,3.3,-8.1,2.8,10.7,17.1,53.6,32.9,74,PG,0
18,Jahlil Okafor,DET,19,11.0,1.9,3.3,0.597,0.1,0.3,0.333,0.4,0.5,0.8,0.5,1.2,0.7,1.4,2.1,0.6,0.2,0.2,4.4,DET,25,270,Duke,USA,2015,1,3,19,4.4,2.1,0.6,-15.6,6.1,11.6,15.8,63.3,9.8,82,C,1882867
20,Sekou Doumbouya,DET,47,13.3,1.4,4.2,0.347,0.5,1.9,0.25,0.7,0.9,0.738,0.7,1.6,0.5,1.6,2.1,0.7,0.4,0.1,4.0,DET,20,230,None,France,2019,1,15,48,4.0,2.2,0.7,-6.8,3.8,12.1,16.8,43.8,7.8,80,SF,3449400
21,Deividas Sirvydis,DET,14,2.7,0.4,1.2,0.294,0.3,0.9,0.308,0.2,0.3,0.75,0.2,0.2,0.0,0.6,0.6,0.1,0.1,0.0,1.2,DET,20,190,None,Lithuania,2019,2,37,15,1.1,0.5,0.1,-0.8,0.0,18.6,21.8,45.3,9.5,80,SG,898310
1,Stephen Curry,GSW,53,34.1,10.2,20.9,0.489,5.2,12.1,0.427,5.6,6.1,0.917,3.4,1.8,0.5,5.2,5.6,5.8,1.2,0.1,31.3,GSW,33,185,Davidson,USA,2009,1,7,53,31.3,5.6,5.8,3.6,1.3,14.0,32.1,66.1,28.3,75,PG,43006362
2,Andrew Wiggins,GSW,61,33.0,6.8,14.5,0.471,2.0,5.1,0.382,2.4,3.4,0.697,1.8,2.2,1.0,3.8,4.8,2.3,1.0,1.0,18.0,GSW,26,197,Kansas,Canada,2014,1,1,61,18.0,4.8,2.3,-1.2,3.1,11.0,22.5,56.3,10.9,79,SF,29542010
4,James Wiseman,GSW,39,21.4,4.9,9.4,0.519,0.3,1.0,0.316,1.4,2.2,0.628,1.5,3.1,1.4,4.4,5.8,0.7,0.3,0.9,11.5,GSW,20,240,Memphis,USA,2020,1,2,39,11.5,5.8,0.7,-8.8,6.3,19.0,23.1,55.2,5.0,84,C,8730240
5,Jordan Poole,GSW,40,18.4,3.7,8.8,0.426,1.8,5.0,0.352,1.7,1.9,0.885,0.9,1.7,0.2,1.4,1.6,1.9,0.6,0.2,10.9,GSW,21,194,Michigan,USA,2019,1,28,40,10.9,1.6,1.9,-0.3,1.0,7.0,23.9,56.9,16.4,76,SG,2063280
6,Eric Paschall,GSW,39,17.3,3.7,7.5,0.491,0.4,1.4,0.321,1.6,2.3,0.719,1.1,1.7,0.7,2.5,3.2,1.3,0.3,0.2,9.5,GSW,24,255,Villanova,USA,2019,2,41,39,9.5,3.2,1.3,-7.3,3.8,13.8,23.4,55.5,12.9,78,PF,1517981
7,Kent Bazemore,GSW,57,18.1,2.4,5.4,0.448,1.1,2.5,0.417,0.8,1.1,0.692,1.2,2.2,0.4,2.6,3.1,1.6,1.0,0.5,6.7,GSW,31,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted,57,6.7,3.1,1.6,5.8,2.3,13.7,16.3,56.6,11.8,76,SF,1620564
8,Draymond Green,GSW,53,30.9,2.5,6.0,0.422,0.5,2.1,0.248,1.0,1.3,0.779,3.0,3.1,0.9,5.9,6.8,8.8,1.6,0.8,6.6,GSW,31,230,Michigan State,USA,2012,2,35,53,6.6,6.8,8.8,4.0,2.9,17.8,12.9,50.0,34.8,78,PF,22246956
9,Damion Lee,GSW,57,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.7,0.8,0.909,0.5,1.6,0.4,2.8,3.2,1.3,0.7,0.1,6.5,GSW,28,210,Louisville,USA,Undrafted,Undrafted,Undrafted,57,6.5,3.2,1.3,1.6,2.0,14.2,12.7,63.6,9.4,77,SG,1762796
11,Juan Toscano-Anderson,GSW,42,18.6,2.1,3.6,0.586,0.6,1.5,0.419,0.4,0.5,0.739,1.0,2.0,0.6,3.4,4.0,2.4,0.6,0.4,5.3,GSW,28,209,Marquette,USA,Undrafted,Undrafted,Undrafted,42,5.3,4.0,2.4,4.0,3.0,16.9,11.0,68.2,17.0,78,SF,1517981
13,Nico Mannion,GSW,24,12.3,1.3,4.0,0.337,0.8,2.1,0.36,0.8,1.0,0.8,1.0,1.0,0.1,1.3,1.4,2.2,0.6,0.0,4.2,GSW,20,190,Arizona,Italy,2020,2,48,24,4.3,1.4,2.2,-9.2,1.0,10.5,19.3,48.1,25.5,74,PG,0
14,Mychal Mulder,GSW,49,10.4,1.4,3.2,0.424,1.0,2.7,0.371,0.2,0.4,0.579,0.2,0.7,0.0,0.7,0.8,0.4,0.2,0.2,4.0,GSW,26,184,Kentucky,Canada,Undrafted,Undrafted,Undrafted,49,4.0,0.8,0.4,0.3,0.4,6.3,14.3,58.3,4.8,75,SG,1517981
15,Kevon Looney,GSW,50,17.5,1.7,3.1,0.535,0.1,0.3,0.25,0.5,0.7,0.706,0.6,2.1,1.9,2.9,4.8,1.9,0.4,0.4,3.9,GSW,25,222,UCLA,USA,2015,1,30,50,3.9,4.8,1.9,4.7,10.6,15.8,9.7,57.0,14.0,81,C,4464226
17,Alen Smailagic,GSW,9,4.3,0.7,1.4,0.462,0.2,0.6,0.4,0.1,0.4,0.25,0.0,0.7,0.3,0.4,0.8,0.2,0.1,0.3,1.7,GSW,20,215,None,Serbia,2019,2,39,9,1.7,0.8,0.2,-27.0,5.6,11.1,15.2,50.8,13.3,82,PF,1517981
2,Victor Oladipo,HOU,20,33.5,7.8,19.1,0.407,2.5,7.7,0.32,3.2,4.2,0.783,2.5,2.2,0.4,4.3,4.8,5.0,1.2,0.5,21.2,MIA,28,213,Indiana,USA,2013,1,2,33,19.8,4.8,4.6,-2.3,1.0,13.7,28.6,51.2,23.3,76,SG,21000000
2,Victor Oladipo,IND,9,33.3,7.1,16.9,0.421,2.8,7.7,0.362,3.0,4.1,0.73,2.0,2.6,0.1,5.6,5.7,4.2,1.7,0.2,20.0,MIA,28,213,Indiana,USA,2013,1,2,33,19.8,4.8,4.6,-2.3,1.0,13.7,28.6,51.2,23.3,76,SG,21000000
7,Victor Oladipo,MIA,4,27.8,4.0,10.8,0.372,1.0,4.2,0.235,3.0,4.5,0.667,3.5,3.2,0.8,2.8,3.5,3.5,1.8,0.5,12.0,MIA,28,213,Indiana,USA,2013,1,2,33,19.8,4.8,4.6,-2.3,1.0,13.7,28.6,51.2,23.3,76,SG,21000000
3,Christian Wood,HOU,37,32.0,8.1,15.5,0.523,1.8,4.8,0.376,2.9,4.6,0.634,1.9,2.1,1.8,7.7,9.5,1.5,0.9,1.2,21.0,HOU,25,214,UNLV,USA,Undrafted,Undrafted,Undrafted,37,21.0,9.5,1.5,-2.8,5.5,22.6,25.6,59.7,7.9,82,C,13015873
4,John Wall,HOU,40,32.2,7.3,18.1,0.404,2.0,6.2,0.317,4.0,5.3,0.749,3.5,1.1,0.4,2.8,3.2,6.9,1.1,0.8,20.6,HOU,30,210,Kentucky,USA,2010,1,1,40,20.6,3.2,6.9,-5.7,1.2,8.4,31.6,50.3,36.5,75,PG,41254920
5,Kelly Olynyk,HOU,17,30.9,6.5,11.1,0.582,1.9,4.8,0.402,3.1,3.5,0.881,2.4,2.6,1.4,6.6,7.9,2.9,1.1,0.5,17.9,HOU,30,240,Gonzaga,Canada,2013,1,13,60,12.3,6.6,2.3,-1.9,3.9,19.0,17.8,60.6,12.4,83,PF,12598243
8,Kelly Olynyk,MIA,43,26.9,3.8,8.7,0.431,1.8,5.7,0.317,0.7,0.9,0.775,1.3,2.9,1.0,5.0,6.1,2.1,0.9,0.6,10.0,HOU,30,240,Gonzaga,Canada,2013,1,13,60,12.3,6.6,2.3,-1.9,3.9,19.0,17.8,60.6,12.4,83,PF,12598243
6,Eric Gordon,HOU,27,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.5,4.2,0.825,1.9,1.6,0.3,1.9,2.1,2.6,0.5,0.5,17.8,HOU,32,215,Indiana,USA,2008,1,7,27,17.8,2.1,2.6,-3.3,0.9,6.2,24.6,57.7,14.7,75,SG,16869276
9,DeMarcus Cousins,HOU,25,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.8,2.4,0.746,1.6,3.0,1.2,6.4,7.6,2.4,0.8,0.7,9.6,LAC,30,270,Kentucky,USA,2010,1,5,34,9.0,7.0,2.1,-3.7,6.8,30.2,24.0,51.4,18.5,82,C,1620564
14,DeMarcus Cousins,LAC,8,11.5,2.5,5.1,0.488,0.5,1.0,0.5,0.8,1.6,0.462,2.0,1.8,1.5,3.0,4.5,1.2,0.4,0.1,6.2,LAC,30,270,Kentucky,USA,2010,1,5,34,9.0,7.0,2.1,-3.7,6.8,30.2,24.0,51.4,18.5,82,C,1620564
10,D.J. Augustin,HOU,14,19.2,2.8,6.7,0.415,1.3,3.6,0.36,2.4,2.4,0.971,1.5,1.3,0.5,1.8,2.3,4.0,0.4,0.0,9.2,HOU,33,183,Texas-Austin,USA,2008,1,9,51,7.0,1.6,3.3,1.1,1.8,6.2,15.7,55.9,22.2,71,PG,6666667
9,D.J. Augustin,MIL,37,19.3,1.9,5.2,0.37,1.3,3.5,0.38,1.0,1.1,0.9,0.9,0.9,0.3,1.1,1.4,3.0,0.5,0.0,6.1,HOU,33,183,Texas-Austin,USA,2008,1,9,51,7.0,1.6,3.3,1.1,1.8,6.2,15.7,55.9,22.2,71,PG,6666667
11,David Nwaba,HOU,30,22.6,3.5,7.3,0.486,0.6,2.1,0.27,1.6,2.3,0.691,0.6,2.0,1.3,2.6,3.9,1.0,1.0,0.7,9.2,HOU,28,219,Cal Poly-Obispo,USA,Undrafted,Undrafted,Undrafted,30,9.2,3.9,1.0,-1.3,5.5,10.8,16.3,55.7,7.0,77,SF,1824003
13,Armoni Brooks,HOU,9,23.5,2.9,7.7,0.377,2.3,6.7,0.35,0.2,0.6,0.4,1.2,1.4,0.6,3.4,4.0,1.4,0.4,0.1,8.3,HOU,22,195,Houston,USA,2019,,,9,8.3,4.0,1.4,-17.4,2.1,14.6,16.6,52.7,10.2,75,G,0
14,Sterling Brown,HOU,51,24.1,2.9,6.6,0.448,1.8,4.2,0.423,0.5,0.6,0.806,0.8,1.9,0.7,3.6,4.4,1.4,0.7,0.2,8.2,HOU,26,219,Southern Methodist,USA,2017,2,46,51,8.2,4.4,1.4,-5.4,2.9,14.7,13.3,59.7,8.8,77,SF,1620564
15,Ben McLemore,HOU,32,16.8,2.5,7.0,0.357,1.7,5.2,0.331,0.7,1.0,0.719,0.9,1.6,0.3,1.7,2.1,0.9,0.6,0.1,7.4,LAL,28,195,Kansas,USA,2013,1,7,42,7.9,2.0,0.8,-4.3,1.8,9.0,19.5,52.9,7.0,75,G,2283034
8,Ben McLemore,LAL,9,17.9,3.0,6.8,0.443,2.0,5.2,0.383,1.4,1.8,0.812,0.7,2.6,0.4,1.3,1.8,0.4,0.1,0.3,9.4,LAL,28,195,Kansas,USA,2013,1,7,42,7.9,2.0,0.8,-4.3,1.8,9.0,19.5,52.9,7.0,75,G,2283034
17,Mason Jones,HOU,26,11.8,1.8,4.4,0.412,0.9,2.5,0.359,1.3,2.2,0.614,1.1,0.8,0.2,1.8,2.0,1.5,0.2,0.0,5.8,PHI,22,200,Arkansas,USA,Undrafted,Undrafted,Undrafted,32,5.3,1.7,1.3,-9.9,1.8,14.5,21.7,55.6,21.1,76,SG,0
16,Mason Jones,PHI,5,4.3,0.8,1.4,0.571,0.2,0.4,0.5,1.0,1.4,0.714,0.0,0.0,0.6,0.2,0.8,0.6,0.0,0.0,2.8,PHI,22,200,Arkansas,USA,Undrafted,Undrafted,Undrafted,32,5.3,1.7,1.3,-9.9,1.8,14.5,21.7,55.6,21.1,76,SG,0
18,D.J. Wilson,HOU,20,13.2,2.1,5.0,0.426,0.8,2.4,0.333,0.6,0.9,0.632,0.8,1.3,0.6,2.8,3.4,0.8,0.5,0.6,5.7,HOU,25,231,Michigan,USA,2017,1,17,32,4.9,2.9,0.6,-11.5,3.7,19.3,20.0,51.2,8.7,82,PF,4548280
12,D.J. Wilson,MIL,12,8.7,1.3,3.6,0.372,0.8,2.3,0.357,0.1,0.2,0.5,0.3,1.1,0.2,1.8,2.1,0.2,0.1,0.3,3.6,HOU,25,231,Michigan,USA,2017,1,17,32,4.9,2.9,0.6,-11.5,3.7,19.3,20.0,51.2,8.7,82,PF,4548280
19,Avery Bradley,HOU,14,22.8,2.0,6.3,0.318,1.1,3.8,0.283,0.4,0.4,0.833,0.9,1.7,0.4,2.1,2.5,2.0,0.7,0.1,5.4,HOU,30,180,Texas-Austin,USA,2010,1,19,24,6.7,2.2,1.8,-9.1,1.3,8.3,14.8,50.1,11.3,75,PG,5635000
9,Avery Bradley,MIA,10,21.1,3.1,6.6,0.47,1.6,3.8,0.421,0.7,0.9,0.778,0.9,2.6,0.2,1.6,1.8,1.4,0.7,0.1,8.5,HOU,30,180,Texas-Austin,USA,2010,1,19,24,6.7,2.2,1.8,-9.1,1.3,8.3,14.8,50.1,11.3,75,PG,5635000
21,P.J. Tucker,HOU,32,30.0,1.5,4.1,0.366,0.8,2.7,0.314,0.6,0.7,0.783,1.0,2.8,1.0,3.6,4.6,1.4,0.9,0.6,4.4,MIL,35,245,Texas-Austin,USA,2006,2,35,41,4.0,4.2,1.2,-6.4,3.5,11.9,7.7,50.0,5.9,77,PF,7969537
18,P.J. Tucker,MIL,9,17.1,0.9,2.4,0.364,0.7,1.7,0.4,0.0,0.0,0.0,0.2,1.1,1.0,1.9,2.9,0.6,0.3,0.2,2.4,MIL,35,245,Texas-Austin,USA,2006,2,35,41,4.0,4.2,1.2,-6.4,3.5,11.9,7.7,50.0,5.9,77,PF,7969537
22,Anthony Lamb,HOU,14,11.9,1.3,3.9,0.327,0.6,2.4,0.273,0.4,0.5,0.857,0.4,1.3,1.1,1.2,2.3,0.4,0.1,0.1,3.6,HOU,23,227,Vermont,USA,Undrafted,Undrafted,Undrafted,14,3.6,2.3,0.4,-9.0,7.2,10.8,15.6,43.9,5.6,78,F,0
25,DaQuan Jeffries,HOU,6,13.4,0.8,3.0,0.278,0.3,1.8,0.182,0.0,0.0,0.0,0.0,0.8,0.7,1.5,2.2,0.5,0.2,0.5,2.0,HOU,23,230,Tulsa,USA,Undrafted,Undrafted,Undrafted,24,3.1,1.8,0.4,2.2,3.9,8.8,11.3,48.0,3.7,77,F,1445697
15,DaQuan Jeffries,SAC,18,12.9,1.3,3.2,0.421,0.5,1.6,0.321,0.3,0.4,0.857,0.4,1.3,0.5,1.1,1.6,0.3,0.4,0.2,3.5,HOU,23,230,Tulsa,USA,Undrafted,Undrafted,Undrafted,24,3.1,1.8,0.4,2.2,3.9,8.8,11.3,48.0,3.7,77,F,1445697
1,Malcolm Brogdon,IND,54,35.0,8.1,17.8,0.457,2.7,6.7,0.396,2.7,3.1,0.863,2.1,2.0,1.1,4.2,5.3,6.0,0.9,0.3,21.6,IND,28,229,Virginia,USA,2016,2,36,54,21.6,5.3,6.0,0.3,2.9,11.7,25.7,56.4,27.1,77,PG,20700000
3,Domantas Sabonis,IND,53,35.7,7.5,14.4,0.52,0.8,2.6,0.302,4.1,5.6,0.731,3.4,3.4,2.5,9.1,11.6,6.0,1.1,0.5,19.9,IND,24,240,Gonzaga,Lithuania,2016,1,11,53,19.9,11.6,6.0,-3.3,6.8,25.3,24.1,58.8,26.1,83,PF,19800000
5,T.J. Warren,IND,4,29.3,6.8,12.8,0.529,0.0,1.8,0.0,2.0,2.5,0.8,1.0,4.0,0.5,3.0,3.5,1.2,0.5,0.0,15.5,IND,27,220,North Carolina State,USA,2014,1,14,4,15.5,3.5,1.3,2.6,1.7,10.6,21.3,56.0,6.0,80,SF,12500000
6,Doug McDermott,IND,54,24.2,5.1,9.8,0.524,1.6,4.2,0.38,1.2,1.4,0.831,0.8,1.7,1.0,2.6,3.6,1.3,0.3,0.1,13.1,IND,29,225,Creighton,USA,2014,1,11,54,13.1,3.6,1.3,-0.6,4.0,10.3,19.3,62.6,7.8,79,SF,7333333
7,Myles Turner,IND,47,31.0,4.4,9.2,0.477,1.5,4.4,0.335,2.4,3.0,0.782,1.4,3.5,1.3,5.2,6.5,1.0,0.9,3.4,12.6,IND,25,250,Texas-Austin,USA,2015,1,11,47,12.6,6.5,1.0,1.3,4.3,15.9,16.7,59.9,4.7,83,C,18000000
