#,Player,Team,GP_x,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP_y,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT,Position,SALARY
7,Evan Fournier,BOS,6,26.1,2.7,8.0,0.333,1.8,4.7,0.393,0.8,1.0,0.833,1.2,2.2,0.2,1.8,2.0,2.2,1.0,0.7,8.0,BOS,28,205,None,France,2012,1,20,32,17.5,2.7,3.4,-2.2,0.6,8.4,23.8,59.0,17.4,79,SG,17150000
2,Evan Fournier,ORL,26,30.3,6.5,14.2,0.461,2.8,7.2,0.388,3.8,4.7,0.797,2.1,2.1,0.2,2.7,2.9,3.7,1.0,0.3,19.7,BOS,28,205,None,France,2012,1,20,32,17.5,2.7,3.4,-2.2,0.6,8.4,23.8,59.0,17.4,79,SG,17150000
8,Tristan Thompson,BOS,46,23.3,3.2,6.1,0.53,0.0,0.1,0.0,1.4,2.3,0.613,1.1,2.1,3.0,5.0,8.1,1.1,0.4,0.5,7.9,BOS,30,254,Texas-Austin,Canada,2011,1,4,46,7.9,8.1,1.1,2.4,12.4,21.7,15.0,55.4,6.6,81,C,9258000
9,Payton Pritchard,BOS,55,19.1,2.7,6.0,0.45,1.4,3.4,0.419,0.5,0.6,0.906,0.8,1.6,0.5,1.7,2.3,1.8,0.5,0.2,7.3,BOS,23,195,Oregon,USA,2020,1,26,55,7.3,2.3,1.8,0.2,2.7,9.1,15.6,58.7,13.8,73,PG,2193480
10,Jeff Teague,BOS,34,18.1,2.3,5.5,0.415,0.8,1.6,0.464,1.5,1.8,0.836,1.1,1.3,0.3,1.4,1.7,2.1,0.8,0.2,6.9,MIL,32,195,Wake Forest,USA,2009,1,19,46,6.6,1.7,2.4,3.1,1.6,7.7,16.8,54.4,17.8,75,PG,1620564
10,Jeff Teague,MIL,12,16.7,1.9,4.4,0.434,0.3,1.3,0.25,1.6,1.8,0.864,0.9,0.9,0.2,1.5,1.8,3.2,0.2,0.2,5.8,MIL,32,195,Wake Forest,USA,2009,1,19,46,6.6,1.7,2.4,3.1,1.6,7.7,16.8,54.4,17.8,75,PG,1620564
11,Jabari Parker,BOS,5,14.3,2.8,5.2,0.538,0.0,0.8,0.0,0.6,0.8,0.75,0.8,0.6,1.2,2.4,3.6,1.2,0.2,0.6,6.2,BOS,26,245,Duke,USA,2014,1,2,8,4.9,3.0,0.9,-6.7,6.4,16.7,17.1,56.1,11.7,80,PF,6500000
19,Jabari Parker,SAC,3,9.1,1.3,2.3,0.571,0.0,0.3,0.0,0.0,0.0,0.0,1.0,1.3,0.3,1.7,2.0,0.3,0.0,0.3,2.7,BOS,26,245,Duke,USA,2014,1,2,8,4.9,3.0,0.9,-6.7,6.4,16.7,17.1,56.1,11.7,80,PF,6500000
12,Semi Ojeleye,BOS,50,17.5,1.6,4.0,0.4,1.1,2.9,0.386,0.5,0.6,0.75,0.4,1.1,0.5,2.1,2.6,0.7,0.3,0.0,4.8,BOS,26,240,Southern Methodist,USA,2017,2,37,50,4.8,2.6,0.7,-0.2,3.1,12.0,11.3,56.1,5.5,78,PF,1752950
13,Grant Williams,BOS,53,18.7,1.6,3.8,0.426,0.8,2.1,0.373,0.4,0.8,0.55,0.9,2.6,0.8,2.1,2.9,1.0,0.6,0.4,4.4,BOS,22,236,Tennessee,USA,2019,1,22,53,4.4,2.9,1.0,-0.6,4.1,11.0,11.3,53.5,7.4,78,PF,2498760
